,0165_10,0165_11,0165_12,0165_13,0165_14,0165_15,0165_16,0165_17,0165_18,0165_19,0165_20,0165_21,0165_22,0165_23,0165_24,0165_25,0165_26,0165_27,0165_28,0165_29,0165_30,internetP,label
md_0000075,66141,58616,257,7226,2676,4550,25575,11127,14448,16237,8565,7672,307,156,151,7006,3872,3134,2008,2409,5116,0.886227907047,train
or_0000069,64283,55332,559,7173,3650,3523,37840,22645,15195,1307,805,502,968,417,551,4699,3314,1385,2786,3103,5848,0.860756343046,train
ny_0000166,42452,32440,738,4069,859,3210,22684,7538,15146,39,39,0,1161,176,985,2440,1235,1205,1309,1422,8590,0.76415716574,train
ut_0000049,42645,32458,387,9822,4569,5253,13420,6626,6794,1806,1091,715,1102,544,558,4356,2691,1665,1565,6959,3228,0.761120881698,train
tx_0000246,36018,28504,215,7597,3684,3913,7376,3049,4327,968,672,296,1061,636,425,7648,4628,3020,3639,1523,5991,0.791382086734,train
tx_0000366,39527,26718,394,3842,991,2851,13428,3941,9487,598,138,460,2497,702,1795,2780,1273,1507,3179,1800,11009,0.675943026286,train
mi_0000171,58672,25762,785,4347,1425,2922,15240,4132,11108,248,94,154,391,0,391,2959,1340,1619,1792,10007,22903,0.439085083174,train
nj_0000090,41692,31122,198,1582,501,1081,20864,12546,8318,3538,1896,1642,83,43,40,4215,2347,1868,642,1240,9330,0.746474143721,train
in_0000111,46431,32014,590,5634,2333,3301,18157,6878,11279,808,326,482,1311,538,773,2121,1050,1071,3393,2834,11583,0.689496241735,train
ga_0000103,54140,26168,922,12052,3253,8799,4351,1076,3275,457,200,257,2425,570,1855,3187,1391,1796,2774,5149,22823,0.483339490211,train
mi_0000166,52693,40976,224,4689,1715,2974,30386,9788,20598,831,162,669,457,234,223,3570,2045,1525,819,2417,9300,0.777636498207,train
ks_0000050,55453,50712,30,6027,3017,3010,35509,22262,13247,2639,1850,789,392,125,267,4036,2478,1558,2079,1114,3627,0.914504174707,train
ca_0000455,48643,36818,355,6028,1799,4229,10223,3629,6594,12800,4692,8108,1026,376,650,4415,2319,2096,1971,1566,10259,0.756902329215,train
fl_0000206,54143,45049,654,10280,4454,5826,27759,14171,13588,170,125,45,368,197,171,3988,2196,1792,1830,3305,5789,0.832037382487,train
pa_0000175,63783,44373,646,7727,2619,5108,27966,12012,15954,464,341,123,1060,355,705,4351,2600,1751,2159,2306,17104,0.695686938526,train
pa_0000141,55908,44233,635,9780,2940,6840,26668,8279,18389,636,39,597,929,129,800,4756,2685,2071,829,1677,9998,0.79117478715,train
ny_0000255,44986,26279,136,3161,469,2692,15696,3564,12132,3474,1048,2426,124,0,124,2638,1868,770,1050,1307,17400,0.584159516294,train
id_0000031,38163,32522,279,10114,4301,5813,12774,5243,7531,969,57,912,1385,171,1214,3821,1768,2053,3180,2053,3588,0.852186672955,train
in_0000096,50063,34417,1508,12134,2873,9261,8268,2244,6024,2917,822,2095,1672,624,1048,4651,2095,2556,3267,2724,12922,0.687473783033,train
pa_0000116,62227,52598,373,10137,4229,5908,28053,12691,15362,6626,3446,3180,449,212,237,4398,2559,1839,2562,1452,8177,0.8452600961,train
ca_0000478,52267,36206,422,9028,1166,7862,9713,2102,7611,8907,3022,5885,694,122,572,5342,2435,2907,2100,1919,14142,0.692712418926,train
